Tomatoss Monsters~The monster is developed from tomatoes.~Suddenly, the monster look big tomato-like have leaped out the forest. It puted its hand above its head to direct to you!!~5~50~1~Tomato`Red Potion (Small)`Blue Potion (Small)
Baby Red Dragon~Baby Dragon can grow up to be a Dragon.~Baby Dragon have awaken when heard the sound from your step. It saw you!! And gonna attack with dragon breath!!~10~80~2~Dragon egg`Red Potion (Small)`Blue Potion (Small)
Mare Demon~Mare Demon is a demon that live in the sea.Mare in Italian, means sea.~Mare demon or we can call Sea evil. This time is its hunting prey to eat. It noticed you when you come into its area, so coming to you to ATTACK!!~15~70~3~Salt`Red Potion (Small)`Blue Potion (Small)`Fruits Potion (Normal)`X Mana Potion (Normal)
Wheat Monster~The monster is developed from Wheat.~Wheat monster leaded out from a bush, and reached its hand to attack you!!~8~80~1~Flour`Red Potion (Small)`Blue Potion (Small)
Olivato Demon~The monster is developed from Olive which its body is slippy because its skin full of oil.~Olivato Demon poped up from soil, and gonna rush into you!!~13~90~2~Olive oid`Red Potion (Small)`Blue Potion (Small)`Fruits Potion (Normal)`X Mana Potion (Normal)
Dark Peper Cupid~The evil cupid is kicked out from the Heaven and fall down in a pack of black pepper.~The cupid appeared from the dark cloud, and it has directed to you with its arrow!!~8~80~4~Black pepper`Red Potion (Small)`Blue Potion (Small)
Garlica Monster~The monster is developed from Garlics.~Garlica monster leaded out the forest, and gonna spray its water which make you hurting and itching like an acid.~5~50~1~Garlic`Red Potion (Small)`Blue Potion (Small)
Carrota Monster~The monster is developed from Carrots.~The carrota monster leaped out the forest, and reached its hand to direct it to you!!~5~40~2~Carrot`Red Potion (Small)`Blue Potion (Small)
UFO Corn Evil~It will damage with their eyes 's laser that around with their body.~The UFO Corn evil leaps out the bush of corn field, and then shots the lazer to you!!~17~50~5~Corn`Red Potion (Small)`Blue Potion (Small)`Fruits Potion (Normal)`X Mana Potion (Normal)
Fire Sweet Friut Ghost~A monster soul possessed in many Apples with fire magic. It will attack with violent fire ball!!~The monster appear from the ground, and gonna spit Fire ball!!~12~60~5~Apple`Red Potion (Small)`Blue Potion (Small)
Brownie Monster~The monster is developed from Cholate and Flour.~The monster leaped out behind you, and it is opening its mouth to bite you!!~6~90~1~Chocolate`Flour`Red Potion (Small)`Blue Potion (Small)
Cow Demon~A bad cow 's soul which is angry people that killed it possessed in Milk.~When Cow demon noticed you, it suddenly is rushing to you when saw the human!!~18~60~3~Milk`Cheese` Red Potion (Small)`Blue Potion (Small)`Fruits Potion (Normal)`X Mana Potion (Normal)
Knight in the Darkness~A bad soul knight which was judged unfair that is angry people possessed in pepper with dark magic.~The dark knight is standing in front of you, Then, it reached its sword to direct your neck!!~15~60~6~Black Pepper`Red Potion (Small)`Blue Potion (Small)`Fruits Potion (Normal)`X Mana Potion (Normal)
Loli Chili bomp~The monster is developed from Chili.~The loli chili monster have leaped out the tiny bush on the groud, and going to crash you!!~5~40~7~Chili`Pack Chili Bombs`Red Potion (Small)`Blue Potion (Small)
